Membership No  Date Joined  Active  
    93409      2016-12-7    no    
    62529      2016-3-5     no    
    94556      2015-7-4     yes   
    84575      2017-2-17    yes   
    18429      2020-11-5    yes   
    98416      2020-8-7     no    
    20651      2015-1-15    no    
    23968      2019-5-9     yes   
    54406      2018-12-5    no    
    56995      2015-9-4     no    
    51695      2017-2-10    yes   
    94969      2017-12-22   no    
    71393      2019-3-24    no    
    56738      2016-4-24    yes   
    95721      2016-11-13   yes   
    35406      2015-8-3     no    
    25066      2016-10-9    yes   
    40929      2019-4-11    yes   
    77666      2017-9-7     no    
    26498      2020-2-11    no    
