Membership No  Date Joined  Active  
    88516      2020-2-10    no    
    99410      2020-1-4     no    
    16835      2016-3-13    no    
    10849      2017-6-11    no    
    27002      2016-4-10    no    
    79483      2019-9-8     no    
    19339      2016-1-24    no    
    32989      2015-8-25    no    
    95232      2016-7-10    no    
    97055      2020-3-5     no    
    75548      2018-11-22   no    
    79824      2020-12-2    no    
    61875      2020-12-24   no    
    95227      2017-6-25    no    
    87155      2017-8-24    no    
