Membership No  Date Joined  Active  
    55991      2015-9-5     yes   
    10849      2017-6-11    no    
    27002      2016-4-10    no    
    50460      2015-5-4     yes   
    42432      2018-3-10    yes   
    79483      2019-9-8     no    
    95660      2020-6-23    yes   
    19339      2016-1-24    no    
    32989      2015-8-25    no    
    95232      2016-7-10    no    
    65354      2017-10-1    yes   
    97055      2020-3-5     no    
    37254      2018-1-19    yes   
    81000      2016-7-1     yes   
    75548      2018-11-22   no    
    79824      2020-12-2    no    
    61875      2020-12-24   no    
    95227      2017-6-25    no    
    17544      2019-6-10    yes   
    87155      2017-8-24    no    
Membership No  Date Joined  Active  
    55991      2015-9-5     yes   
    50460      2015-5-4     yes   
    42432      2018-3-10    yes   
    95660      2020-6-23    yes   
    65354      2017-10-1    yes   
    37254      2018-1-19    yes   
    81000      2016-7-1     yes   
    17544      2019-6-10    yes   
